"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成25年度"
"","","","","","","","","","","","","",""
"1.民間最終消費支出","2161504.0","2097361.0","2079575.0","2213206.0","2258069.0","2288383.0","2318806.0","2323435.0","2154229.0","2107021.0","2127119.0","2098272.0","2201734.0"
"1.民間最終消費支出","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出","2115223.0","2054927.0","2035207.0","2171504.0","2200093.0","2228670.0","2263444.0","2270612.0","2101248.0","2051090.0","2064659.0","2029853.0","2131631.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_a．食料・非アルコール飲料","341275.0","334916.0","330660.0","329267.0","321733.0","322508.0","325252.0","328393.0","299192.0","292650.0","293347.0","286492.0","292606.0"
"1.民間最終消費支出_(1)家計最終消費支出_b．アルコール飲料・たばこ","74556.0","69187.0","67931.0","72636.0","75495.0","72101.0","73685.0","74067.0","60329.0","60774.0","63461.0","57277.0","57797.0"
"1.民間最終消費支出_(1)家計最終消費支出_c．被服・履物","84040.0","75595.0","74156.0","73949.0","70982.0","74231.0","74727.0","75810.0","70670.0","65259.0","67241.0","66577.0","71169.0"
"1.民間最終消費支出_(1)家計最終消費支出_d．住居・電気・ガス・水道","495960.0","492912.0","490899.0","506620.0","518211.0","529073.0","540182.0","552503.0","549560.0","553415.0","556023.0","558594.0","569938.0"
"1.民間最終消費支出_(1)家計最終消費支出_e．家具・家庭用機器・家事サービス","93904.0","84468.0","89372.0","98782.0","99227.0","96375.0","103003.0","102181.0","82840.0","78861.0","84282.0","75279.0","88992.0"
"1.民間最終消費支出_(1)家計最終消費支出_f．保健・医療","58886.0","56708.0","57626.0","55465.0","54602.0","51770.0","52491.0","52055.0","52403.0","52190.0","52837.0","51250.0","53443.0"
"1.民間最終消費支出_(1)家計最終消費支出_g．交通","222335.0","214400.0","213314.0","231476.0","246631.0","240484.0","252291.0","244662.0","230140.0","219308.0","220478.0","223081.0","237468.0"
"1.民間最終消費支出_(1)家計最終消費支出_h．通信","49959.0","47115.0","45586.0","62850.0","63154.0","63702.0","65955.0","66166.0","68643.0","68682.0","69289.0","68805.0","73905.0"
"1.民間最終消費支出_(1)家計最終消費支出_i．娯楽・レジャー・文化","219222.0","200490.0","192779.0","228276.0","226714.0","227667.0","231141.0","230782.0","212641.0","206160.0","203891.0","195324.0","205269.0"
"1.民間最終消費支出_(1)家計最終消費支出_j．教育","42166.0","43691.0","48389.0","56834.0","53165.0","55175.0","53321.0","51244.0","34717.0","27706.0","28077.0","27260.0","26891.0"
"1.民間最終消費支出_(1)家計最終消費支出_k．外食・宿泊","153015.0","143163.0","141078.0","152015.0","149243.0","151834.0","157359.0","158736.0","141735.0","137222.0","136081.0","132201.0","145828.0"
"1.民間最終消費支出_(1)家計最終消費支出_l．その他","279905.0","292284.0","283416.0","303335.0","320934.0","343750.0","334038.0","334013.0","298378.0","288863.0","289653.0","287712.0","308325.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_（再掲）","","","","","","","","","","","","",""
"1.民間最終消費支出_(1)家計最終消費支出_家計最終消費支出(除く持ち家の帰属家賃)","1760535.0","1698077.0","1676269.0","1803145.0","1822259.0","1841408.0","1866612.0","1864271.0","1691091.0","1638113.0","1648616.0","1610929.0","1709471.0"
"1.民間最終消費支出_(1)家計最終消費支出_持ち家の帰属家賃","354688.0","356850.0","358938.0","368359.0","377834.0","387262.0","396832.0","406340.0","410157.0","412977.0","416043.0","418923.0","422160.0"
"","","","","","","","","","","","","",""
"1.民間最終消費支出_(2)対家計民間非営利団体最終消費支出","46281.0","42434.0","44368.0","41702.0","57976.0","59713.0","55362.0","52823.0","52981.0","55931.0","62460.0","68419.0","70103.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(2)対家計民間非営利団体最終消費支出","800026.0","804296.0","795894.0","805981.0","802773.0","793285.0","804723.0","811598.0","805558.0","811623.0","828878.0","823378.0","819134.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_(1)国出先機関","67173.0","70453.0","72495.0","68478.0","66282.0","66742.0","67357.0","66959.0","65562.0","61826.0","60984.0","58169.0","64283.0"
"2.政府最終消費支出_(2)和歌山県","237743.0","235319.0","221871.0","226600.0","222077.0","217529.0","218111.0","214898.0","205090.0","204814.0","205442.0","202353.0","193445.0"
"2.政府最終消費支出_(3)県内市町村","205283.0","205542.0","202103.0","202226.0","197597.0","189787.0","188411.0","187507.0","186562.0","183254.0","188044.0","181459.0","176264.0"
"2.政府最終消費支出_(4)社会保障基金","289827.0","292982.0","299425.0","308677.0","316818.0","319227.0","330844.0","342234.0","348343.0","361729.0","374408.0","381397.0","385142.0"
"","","","","","","","","","","","","",""
"2.政府最終消費支出_（再掲）","","","","","","","","","","","","",""
"2.政府最終消費支出_家計現実最終消費","2617541.0","2556721.0","2539654.0","2688849.0","2741509.0","2774653.0","2818667.0","2834452.0","2664707.0","2634836.0","2667627.0","2636215.0","2735504.0"
"2.政府最終消費支出_政府現実最終消費","343989.0","344936.0","335815.0","330337.0","319332.0","307015.0","304863.0","300581.0","295080.0","283808.0","288371.0","285435.0","285363.0"
"","","","","","","","","","","","","",""
"3.総資本形成","858209.0","856358.0","832765.0","813708.0","787479.0","829002.0","903605.0","845939.0","756841.0","748776.0","848230.0","987084.0","971802.0"
"","","","","","","","","","","","","",""
